Institution,Project Name,Station,Location,Country,Site Name,Site ID,Site Code,Latitude,Longitude,Easting,Northing,Projection,Datum,Transect,Transect Dir.,Transect Length,Depth,Quad,Habitat,Water Qual.,Image Date,Image Time,Photographer,Camera,Lens,Analysis Date,Analysis Tech.,File Name,Image Name,Total Points,Point #,Class ID,ID Name,ID Code,Subcategory,Major Category,Notes,X,Y
 , , , , , , , , , , , , , , , , , , , , , , , , , , , ,C:\Users\Vicky\Dropbox\FRE - Vicky@DP\Publication\On the way to publish\12. XLQ mesophotic bleacing event\Data\Pictures\20230703_Ajibye_30m\T1\202307AJB30T1-01.cpc,C:\Users\Vicky\Dropbox\FRE - Vicky@DP\Publication\On the way to publish\12. XLQ mesophotic bleacing event\Data\Pictures\20230703_Ajibye_30m\T1\202307AJB30T1-01.jpg,64,1,1,Acropora_tenella,,atbr,Coral,,62,151
 , , , , , , , , , , , , , , , , , , , , , , , , , , , ,C:\Users\Vicky\Dropbox\FRE - Vicky@DP\Publication\On the way to publish\12. XLQ mesophotic bleacing event\Data\Pictures\20230703_Ajibye_30m\T1\202307AJB30T1-01.cpc,C:\Users\Vicky\Dropbox\FRE - Vicky@DP\Publication\On the way to publish\12. XLQ mesophotic bleacing event\Data\Pictures\20230703_Ajibye_30m\T1\202307AJB30T1-01.jpg,64,2,,Filamentous (turf),,agfi,Algae,,202,547
 , , , , , , , , , , , , , , , , , , , , , , , , , , , ,C:\Users\Vicky\Dropbox\FRE - Vicky@DP\Publication\On the way to publish\12. XLQ mesophotic bleacing event\Data\Pictures\20230703_Ajibye_30m\T1\202307AJB30T1-01.cpc,C:\Users\Vicky\Dropbox\FRE - Vicky@DP\Publication\On the way to publish\12. XLQ mesophotic bleacing event\Data\Pictures\20230703_Ajibye_30m\T1\202307AJB30T1-01.jpg,64,3,,Filamentous (turf),,agfi,Algae,,304,1199
 , , , , , , , , , , , , , , , , , , , , , , , , , , , ,C:\Users\Vicky\Dropbox\FRE - Vicky@DP\Publication\On the way to publish\12. XLQ mesophotic bleacing event\Data\Pictures\20230703_Ajibye_30m\T1\202307AJB30T1-01.cpc,C:\Users\Vicky\Dropbox\FRE - Vicky@DP\Publication\On the way to publish\12. XLQ mesophotic bleacing event\Data\Pictures\20230703_Ajibye_30m\T1\202307AJB30T1-01.jpg,64,4,,Filamentous (turf),,agfi,Algae,,90,1560
 , , , , , , , , , , , , , , , , , , , , , , , , , , , ,C:\Users\Vicky\Dropbox\FRE - Vicky@DP\Publication\On the way to publish\12. XLQ mesophotic bleacing event\Data\Pictures\20230703_Ajibye_30m\T1\202307AJB30T1-01.cpc,C:\Users\Vicky\Dropbox\FRE - Vicky@DP\Publication\On the way to publish\12. XLQ mesophotic bleacing event\Data\Pictures\20230703_Ajibye_30m\T1\202307AJB30T1-01.jpg,64,5,,Filamentous (turf),,agfi,Algae,,349,1977
 , , , , , , , , , , , , , , , , , , , , , , , , , , , ,C:\Users\Vicky\Dropbox\FRE - Vicky@DP\Publication\On the way to publish\12. XLQ mesophotic bleacing event\Data\Pictures\20230703_Ajibye_30m\T1\202307AJB30T1-01.cpc,C:\Users\Vicky\Dropbox\FRE - Vicky@DP\Publication\On the way to publish\12. XLQ mesophotic bleacing event\Data\Pictures\20230703_Ajibye_30m\T1\202307AJB30T1-01.jpg,64,6,,Filamentous (turf),,agfi,Algae,,183,2284
 , , , , , , , , , , , , , , , , , , , , , , , , , , , ,C:\Users\Vicky\Dropbox\FRE - Vicky@DP\Publication\On the way to publish\12. XLQ mesophotic bleacing event\Data\Pictures\20230703_Ajibye_30m\T1\202307AJB30T1-01.cpc,C:\Users\Vicky\Dropbox\FRE - Vicky@DP\Publication\On the way to publish\12. XLQ mesophotic bleacing event\Data\Pictures\20230703_Ajibye_30m\T1\202307AJB30T1-01.jpg,64,7,1,Anacropora_forbesi_branching,,asbr,Coral,,155,2619
 , , , , , , , , , , , , , , , , , , , , , , , , , , , ,C:\Users\Vicky\Dropbox\FRE - Vicky@DP\Publication\On the way to publish\12. XLQ mesophotic bleacing event\Data\Pictures\20230703_Ajibye_30m\T1\202307AJB30T1-01.cpc,C:\Users\Vicky\Dropbox\FRE - Vicky@DP\Publication\On the way to publish\12. XLQ mesophotic bleacing event\Data\Pictures\20230703_Ajibye_30m\T1\202307AJB30T1-01.jpg,64,8,1,Anacropora_forbesi_branching,,asbr,Coral,,109,2993
 , , , , , , , , , , , , , , , , , , , , , , , , , , , ,C:\Users\Vicky\Dropbox\FRE - Vicky@DP\Publication\On the way to publish\12. XLQ mesophotic bleacing event\Data\Pictures\20230703_Ajibye_30m\T1\202307AJB30T1-01.cpc,C:\Users\Vicky\Dropbox\FRE - Vicky@DP\Publication\On the way to publish\12. XLQ mesophotic bleacing event\Data\Pictures\20230703_Ajibye_30m\T1\202307AJB30T1-01.jpg,64,9,1,Acropora_tenella_branching_dead_Turf,,atTU,Coral,TU,634,333
 , , , , , , , , , , , , , , , , , , , , , , , , , , , ,C:\Users\Vicky\Dropbox\FRE - Vicky@DP\Publication\On the way to publish\12. XLQ mesophotic bleacing event\Data\Pictures\20230703_Ajibye_30m\T1\202307AJB30T1-01.cpc,C:\Users\Vicky\Dropbox\FRE - Vicky@DP\Publication\On the way to publish\12. XLQ mesophotic bleacing event\Data\Pictures\20230703_Ajibye_30m\T1\202307AJB30T1-01.jpg,64,10,1,Acropora_tenella_branching_dead_Turf,,atTU,Coral,TU,463,530
