Major_cate,Label,Bleached_status,2022_T1,2022_T2,2022_T3,2023_T1,2023_T2,2023_T3,Label_raw
Hard_corals,Acropora_tenella_branching,Health,44,24,2,12,14,7,Acropora_tenella
Hard_corals,Acropora_tenella_branching,Bleached,175,53,27,2,10,2,Acropora_tenella_branching_bleached
Hard_corals,Acropora_tenella_branching,Partly_Bleached,125,62,36,0,0,1,Acropora_tenella_branching_partly_bleached
CCA,Crustose_coralline_algae,Dead_CCA,22,4,0,35,42,0,Acropora_tenella_branching_dead_CCA
Turf,Filamentous,Dead_Endolithic_Algae,24,20,2,20,13,2,Acropora_tenella_branching_dead_Endolithic_algae
Sponges,Terpios,Dead_Terpios,0,0,0,3,58,0,Acropora_tenella_branching_dead_Terpios
Turf,Filamentous,Dead_Turf,0,0,0,118,160,21,Acropora_tenella_branching_dead_Turf
Hard_corals,Anacropora_forbesi_branching,Health,2,2,0,49,174,202,Anacropora_forbesi_branching
Hard_corals,Anacropora_forbesi_branching,Bleached,0,1,0,0,0,1,Anacropora_forbesi_branching_bleached
Hard_corals,Anacropora_forbesi_branching,Partly_Bleached,0,1,0,2,4,1,Anacropora_forbesi_branching_partly_bleached
Turf,Filamentous,Dead_Turf,0,0,0,8,2,1,Anacropora_forbesi_branching_deaf_turf
Hard_corals,Anacropora_matthaii_pillai_branching,Health,0,5,0,64,10,0,Anacropora_matthaii_pillai_branching
Hard_corals,Anacropora_matthaii_pillai_branching,Partly_Bleached,0,0,0,5,0,1,Anacropora_matthaii_pillai_branching_partly_bleached
Turf,Filamentous,Dead_Turf,0,0,0,6,2,0,Anacropora_matthaii_pillai_branching_dead_Turf
Hard_corals,Astreopora_spp_massive,Health,0,0,0,0,2,0,Astreopora_spp_massive
Hard_corals,Cyphastrea_spp_massive,Health,1,0,4,0,0,0,Cyphastrea_spp_massive
Hard_corals,Cyphastrea_spp_massive,Bleached,0,2,0,0,0,0,Cyphastrea_spp_massive_bleached
Hard_corals,Favites_spp_ecrusting,Health,0,6,0,0,0,0,Favites_spp_ecrusting
Hard_corals,Goniopora_spp_massive,Bleached,0,11,0,0,0,0,Goniopora_spp_massive_bleached
Hard_corals,Lobophyllia_hemprichii_massive,Health,0,22,0,0,0,0,Lobophyllia_hemprichii_massive
Hard_corals,Lobophyllia_spp_encrusting,Health,0,60,0,0,0,0,Lobophyllia_spp_encrusting
Hard_corals,Montipora_spp_encrusting,Health,0,0,0,0,7,0,Montipora_spp_encrusting
Hard_corals,Montipora_spp_massive,Partly_Bleached,0,4,0,0,0,0,Montipora_spp_massive_partly_bleached
Hard_corals,Poccilopora_spp_bushy,Health,0,25,12,0,1,0,Poccilopora_spp_bushy
Turf,Filamentous,Dead_Endolithic_Algae,0,6,0,0,0,0,Seriatopora_hystrix_bushy_Endolithic_algae
Hard_corals,Stylophora_pistillata_branching,Health,0,3,2,0,1,2,Stylophora_pistillata_branching
Hard_corals,stony_coral_encrusting,Health,2,0,0,1,0,0,stony_coral_encrusting
Soft_corals,Litophyton_spp_bushy,Health,0,0,7,0,0,0,Litophyton_spp_bushy
Soft_corals,Litophyton_spp_bushy,Partly_Bleached,0,5,6,0,0,0,Litophyton_spp_bushy_partly_bleached
Soft_corals,Sarcophyton_spp_massive,Bleached,0,0,2,0,0,0,Sarcophyton_spp_massive_bleached
CCA,Crustose_coralline_algae,,129,125,119,38,30,26,Crustose_coralline_algae
Turf,Filamentous,,658,649,835,930,780,1024,Filamentous
Algae,Halimeda,,0,2,0,0,0,0,Halimeda
Algae,Padina,,0,0,4,2,0,0,Padina
CCA,Peyssonnelia,,2,1,1,0,1,0,Peyssonnelia
Sponges,Arborescent_sponge,,1,1,0,0,0,0,Arborescent_sponge
Sponges,Branching_repent_sponge,,0,0,1,0,0,0,Branching_repent_sponge
Sponges,Encrusting_sponge,,0,0,1,4,4,5,Encrusting_sponge
Sponges,Massive_sponge,,0,2,0,0,2,0,Massive_sponge
Other_live,Stephanoscyphus_racemosum,,0,1,0,0,0,0,Stephanoscyphus_racemosum
Other_live,Crinoids,,60,118,28,2,4,3,Crinoids
Bare_substrate,Limestone_stable,,0,0,1,0,0,0,Limestone_stable
Bare_substrate,Rock_stable,,0,1,0,0,0,0,Rock_stable
Bare_substrate,Rubble_unstable,,23,52,67,31,19,33,Rubble_unstable
Bare_substrate,Sand,,76,76,187,12,4,12,Sand
